Date,Time,Open,High,Low,Close,Volume
2017.02.14,15:00,11762.0,11765.0,11752.5,11763.5,1020
2017.02.14,16:00,11762.8,11775.0,11747.0,11769.5,1578
2017.02.14,17:00,11768.5,11773.8,11754.5,11764.5,1130
2017.02.14,18:00,11765.0,11787.3,11762.5,11784.8,575
2017.02.14,19:00,11784.5,11791.8,11782.5,11789.8,507
2017.02.14,20:00,11789.5,11795.8,11780.0,11781.5,421
2017.02.14,21:00,11782.0,11799.3,11782.0,11790.5,457
2017.02.15,08:00,11808.5,11831.8,11804.8,11831.5,678
2017.02.15,09:00,11833.0,11844.0,11810.5,11837.3,1432
2017.02.15,10:00,11837.5,11838.3,11812.3,11814.3,950
2017.02.15,11:00,11815.8,11818.3,11785.5,11791.0,1051
2017.02.15,12:00,11790.5,11801.3,11787.8,11792.5,700
2017.02.15,13:00,11792.8,11798.3,11774.0,11775.5,756
2017.02.15,14:00,11775.0,11787.0,11732.5,11739.0,1128
2017.02.15,15:00,11739.3,11772.8,11719.0,11765.5,1596
2017.02.15,16:00,11765.3,11802.3,11755.5,11795.5,1501
2017.02.15,17:00,11795.0,11802.3,11767.0,11771.8,1437
2017.02.15,18:00,11771.5,11782.8,11762.8,11779.5,1887
2017.02.15,19:00,11779.3,11792.3,11773.3,11785.5,2321
2017.02.15,20:00,11785.8,11791.8,11779.3,11783.8,1805
2017.02.15,21:00,11784.3,11792.5,11782.0,11789.3,430
2017.02.16,08:00,11784.5,11788.3,11769.5,11769.8,452
2017.02.16,09:00,11770.0,11809.0,11761.0,11763.5,1716
2017.02.16,10:00,11763.0,11773.3,11748.8,11772.8,1165
2017.02.16,11:00,11772.3,11773.0,11752.0,11766.3,723
2017.02.16,12:00,11767.0,11774.3,11744.5,11751.0,747
2017.02.16,13:00,11752.0,11764.0,11748.3,11754.5,802
2017.02.16,14:00,11754.3,11766.5,11742.5,11763.5,744
2017.02.16,15:00,11764.0,11766.3,11735.5,11743.0,1284
2017.02.16,16:00,11743.5,11764.8,11727.0,11741.0,1904
2017.02.16,17:00,11741.5,11760.8,11723.0,11760.0,1760
2017.02.16,18:00,11761.0,11765.8,11749.0,11758.5,569
